name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
아이스크림미디어(구.시공미디어),2024/08/30,-,%,"32,000",-%,-,%,예정
이엔셀,2024/08/23,-,%,"15,300",-%,-,%,예정
윤성에프앤씨,2022/11/14,"51,200",-0.19%,"49,000",4.49%,"44,100",-10%,"40,450"
디티앤씨알오,2022/11/11,"6,200",-3.12%,"17,000",-63.53%,"15,700",-7.65%,"13,850"
뉴로메카,2022/11/04,"25,600",3.43%,"16,900",51.48%,"24,250",43.49%,"21,050"
제이아이테크,2022/11/04,"3,980",-0.13%,"16,000",-75.13%,"14,400",-10%,"11,900"
NH스팩25호,2022/11/03,"2,250",-0.66%,"2,000",12.5%,"2,110",5.5%,"2,175"
KB스팩23호,2022/11/03,"1,685",0.00%,"2,000",-15.75%,"1,945",-2.75%,"1,940"
큐알티,2022/11/02,"15,450",1.25%,"44,000",-64.89%,"43,000",-2.27%,"38,350"
교보스팩13호,2022/11/02,"2,265",-0.44%,"2,000",13.25%,"2,000",0%,"1,975"
IBKS스팩20호,2022/10/28,"2,330",0.43%,"2,000",16.5%,"2,020",1%,"2,010"
저스템,2022/10/28,"9,330",-7.16%,"10,500",-11.14%,"11,000",4.76%,"12,400"
산돌,2022/10/27,"7,210",1.12%,"18,800",-61.65%,"24,150",28.46%,"20,850"
삼성스팩7호,2022/10/26,"10,170",0.30%,"10,000",1.7%,"17,150",71.5%,"14,100"
플라즈맵,2022/10/21,"2,155",0.47%,"7,000",-69.21%,"8,420",20.29%,"6,700"
한국스팩11호,2022/10/20,"3,495",2.49%,"2,000",74.75%,"2,045",2.25%,"2,035"
하나금융스팩25호,2022/10/20,"10,160",0.10%,"10,000",1.6%,"9,900",-1%,"9,760"
핀텔,2022/10/20,"2,170",-0.46%,"8,900",-75.62%,"15,300",71.91%,"10,850"
NH스팩24호,2022/10/20,"2,150",0.00%,"2,000",7.5%,"2,060",3%,"2,055"
샤페론,2022/10/19,"1,840",-4.22%,"5,000",-63.2%,"9,000",80%,"8,630"
탑머티리얼,2022/10/18,"44,850",0.79%,"30,000",49.5%,"33,500",11.67%,"37,000"
에스비비테크,2022/10/17,"23,900",10.90%,"12,400",92.74%,"23,900",92.74%,"31,050"
